Zip code,Latitude,Longitude,Number of Level 2 chargers
49630,46.04242804,-88.74413746,23
49630,46.4613757,-88.6940107,3
49630,46.13276284,-88.56920213,13
49630,46.1112336,-88.34336213,12
49630,46.09356268,-88.43955237,13
48858,43.6066615,-84.7770656,1
48858,43.6016001,-84.7728635,1
48858,43.57571873,-84.7685261,6
48617,43.7603279,-84.82736968,7
48858,43.6647438,-84.9840334,1
48858,43.6683292,-84.9592494,1
48858,43.5785236,-85.0652894,1
48858,43.5838503,-84.8207831,1
48858,43.610653,-84.73124665,3
48858,43.631905,-84.8474406,1
48858,43.6447258,-84.7645935,1
48858,43.6127991,-84.7382209,9
48858,43.6457194,-84.6672546,1
49202,42.2706843,-84.4248038,1
49202,42.3329925,-84.5089257,1
